,id,image_id,iscrowd,bbox,area,num_keypoints,keypoints,category_id,file_name
10,79,51,0,"[858.41, 248.27, 30.12, 73.43]",2211,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 880.08, 248.99, 2, 861.36, 248.27, 2, 888.53, 263.06, 2, 858.41, 267.16, 2, 880.43, 271.71, 2, 867.25, 272.29, 2, 874.36, 279.7, 2, 863.8, 278.06, 2, 871.33, 298.72, 2, 861.79, 301.36, 2, 868.53, 321.7, 2, 863.42, 309.62, 2]",1,CCTV_51.png
11,7,5,0,"[371.71, 251.35, 57.33, 133.46]",7651,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 379.66, 251.35, 2, 412.99, 259.57, 2, 375.3, 281.02, 2, 418.26, 287.01, 2, 371.71, 301.89, 2, 429.04, 301.49, 2, 389.49, 312.0, 2, 405.74, 316.7, 2, 394.22, 347.57, 2, 405.69, 353.59, 2, 393.64, 378.97, 2, 397.49, 384.81, 2]",1,CCTV_5.png
12,8,5,0,"[338.94, 171.29, 39.16, 125.44]",4912,17,"[359.51, 174.21, 2, 361.81, 171.53, 2, 357.84, 171.29, 2, 366.88, 173.23, 2, 354.11, 172.16, 2, 372.9, 183.64, 2, 346.43, 182.32, 2, 378.1, 206.66, 2, 338.94, 203.14, 2, 366.59, 212.54, 2, 347.58, 208.22, 2, 363.67, 232.73, 2, 349.97, 232.58, 2, 362.51, 271.21, 2, 347.99, 273.44, 2, 360.29, 281.12, 2, 347.65, 296.73, 2]",1,CCTV_5.png
13,225,174,0,"[808.11, 79.55, 64.77, 178.32]",11549,16,"[857.05, 86.18, 2, 857.66, 79.55, 2, 851.81, 81.01, 2, 0, 0, 0, 840.95, 85.62, 2, 866.08, 103.47, 2, 831.78, 104.96, 2, 872.88, 136.2, 2, 808.11, 135.65, 2, 868.52, 159.21, 2, 826.13, 157.65, 2, 856.3, 163.92, 2, 833.02, 165.61, 2, 846.83, 208.77, 2, 851.28, 216.56, 2, 830.08, 257.87, 2, 830.48, 248.23, 2]",1,CCTV_174.png
14,676,507,0,"[160.95, 29.81, 22.01, 123.7]",2722,13,"[160.95, 36.21, 2, 161.81, 32.67, 2, 0, 0, 0, 168.05, 29.81, 2, 0, 0, 0, 179.41, 42.17, 2, 178.27, 35.98, 2, 176.22, 65.4, 2, 0, 0, 0, 165.23, 49.44, 2, 0, 0, 0, 180.72, 92.89, 2, 181.17, 89.05, 2, 178.16, 119.2, 2, 181.89, 119.94, 2, 176.52, 153.51, 2, 182.96, 147.5, 2]",1,CCTV_507.png
15,566,418,0,"[326.11, 355.93, 45.15, 97.38]",4396,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 326.11, 360.99, 2, 355.12, 355.93, 2, 327.41, 377.13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 338.89, 401.12, 2, 358.4, 398.59, 2, 344.41, 420.03, 2, 365.05, 423.52, 2, 353.44, 444.18, 2, 371.26, 453.31, 2]",1,CCTV_418.png
16,567,418,0,"[384.46, 280.66, 17.34, 43.7]",757,8,"[399.22, 282.74, 2, 398.77, 280.66, 2, 397.44, 281.28, 2, 0, 0, 0, 392.21, 282.43, 2, 401.8, 290.9, 2, 384.46, 297.72, 2, 0, 0, 0, 385.36, 316.81, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 391.63, 324.36, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,CCTV_418.png
17,780,582,0,"[509.19, 404.65, 75.73, 88.2]",6679,12,"[557.07, 411.63, 2, 558.64, 406.53, 2, 553.93, 408.95, 2, 0, 0, 0, 542.95, 404.65, 2, 560.7, 415.26, 2, 516.76, 427.49, 2, 573.22, 448.97, 2, 509.19, 458.9, 2, 584.92, 466.42, 2, 517.97, 492.18, 2, 558.39, 486.26, 2, 532.5, 492.85, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,CCTV_582.png
18,823,618,0,"[254.21, 321.76, 167.63, 223.26]",37425,16,"[337.33, 329.47, 2, 342.91, 323.37, 2, 334.15, 321.76, 2, 351.12, 326.3, 2, 323.73, 322.26, 2, 364.87, 342.12, 2, 291.86, 359.01, 2, 394.84, 356.54, 2, 254.21, 389.35, 2, 421.84, 369.54, 2, 274.13, 439.52, 2, 355.58, 451.29, 2, 306.11, 457.48, 2, 372.05, 536.85, 2, 314.25, 519.17, 2, 0, 0, 0, 315.39, 545.02, 2]",1,CCTV_618.png
19,219,170,0,"[116.08, 172.86, 30.96, 99.57]",3082,7,"[147.04, 174.48, 2, 0, 0, 0, 141.63, 172.86, 2, 0, 0, 0, 125.17, 181.85, 2, 116.08, 191.44, 2, 128.6, 210.51, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127.11, 256.31, 2, 136.54, 272.43, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,CCTV_170.png
20,220,170,0,"[138.33, 213.7, 126.88, 117.17]",14866,14,"[174.38, 216.78, 2, 0, 0, 0, 172.72, 213.7, 2, 0, 0, 0, 160.04, 224.68, 2, 167.42, 247.7, 2, 138.33, 229.59, 2, 197.87, 292.69, 2, 173.63, 254.65, 2, 213.88, 250.77, 2, 196.66, 237.87, 2, 170.32, 303.39, 2, 185.54, 317.95, 2, 222.43, 279.78, 2, 233.31, 292.25, 2, 0, 0, 0, 265.21, 330.87, 2]",1,CCTV_170.png
21,221,170,0,"[364.55, 3.8, 14.9, 58.71]",874,17,"[370.53, 5.7, 2, 371.27, 3.87, 2, 369.59, 3.8, 2, 373.34, 4.78, 2, 367.46, 4.7, 2, 376.71, 11.74, 2, 366.14, 12.02, 2, 377.87, 21.54, 2, 364.55, 21.09, 2, 373.32, 28.33, 2, 364.64, 27.42, 2, 376.54, 31.43, 2, 369.56, 31.73, 2, 376.82, 46.61, 2, 365.84, 44.64, 2, 377.12, 62.51, 2, 379.45, 59.24, 2]",1,CCTV_170.png
22,20,12,0,"[441.06, 289.03, 125.39, 218.82]",27437,16,"[512.17, 296.72, 2, 513.5, 289.03, 2, 507.24, 290.36, 2, 0, 0, 0, 488.37, 294.08, 2, 506.07, 314.54, 2, 465.56, 327.55, 2, 535.33, 348.77, 2, 452.94, 383.13, 2, 566.45, 315.28, 2, 511.57, 388.93, 2, 468.53, 389.45, 2, 441.06, 398.57, 2, 464.54, 459.9, 2, 448.65, 455.79, 2, 450.02, 507.85, 2, 450.81, 493.75, 2]",1,CCTV_12.png
23,21,12,0,"[517.57, 276.79, 148.13, 318.68]",47206,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 585.79, 331.3, 2, 654.88, 354.4, 2, 579.44, 309.08, 2, 665.7, 383.21, 2, 590.88, 276.79, 2, 0, 0, 0, 574.21, 434.69, 2, 611.17, 440.05, 2, 548.57, 503.61, 2, 593.93, 526.55, 2, 517.57, 581.28, 2, 572.25, 595.47, 2]",1,CCTV_12.png
24,153,112,0,"[373.62, 561.46, 114.6, 71.19]",8158,15,"[389.45, 565.43, 2, 387.39, 561.46, 2, 385.76, 564.7, 2, 0, 0, 0, 375.39, 570.78, 2, 397.59, 564.43, 2, 373.62, 593.01, 2, 420.5, 567.67, 2, 386.55, 622.49, 2, 447.66, 564.19, 2, 421.26, 632.65, 2, 426.09, 594.14, 2, 420.16, 617.0, 2, 444.53, 577.57, 2, 446.67, 600.17, 2, 0, 0, 0, 488.22, 621.8, 2]",1,CCTV_112.png
25,599,442,0,"[319.94, 135.32, 32.55, 50.62]",1647,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 332.24, 135.32, 2, 343.9, 141.45, 2, 0, 0, 0, 346.19, 158.34, 2, 0, 0, 0, 352.49, 155.65, 2, 319.94, 156.59, 2, 330.42, 162.12, 2, 0, 0, 0, 334.91, 174.76, 2, 0, 0, 0, 324.85, 185.94, 2]",1,CCTV_442.png
26,486,362,0,"[304.94, 92.8, 121.07, 146.89]",17783,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 308.15, 98.35, 2, 333.77, 92.8, 2, 306.98, 126.07, 2, 357.89, 113.69, 2, 308.74, 174.86, 2, 399.21, 138.61, 2, 304.94, 209.25, 2, 426.01, 122.6, 2, 329.12, 206.29, 2, 369.57, 200.22, 2, 0, 0, 0, 369.23, 239.69, 2, 0, 0, 0, 0, 0, 0]",1,CCTV_362.png
27,465,347,0,"[729.8, 174.52, 67.99, 145.91]",9920,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 747.69, 174.52, 2, 785.99, 185.17, 2, 729.8, 198.24, 2, 791.29, 217.53, 2, 0, 0, 0, 797.79, 246.57, 2, 752.37, 244.19, 2, 774.22, 252.0, 2, 751.1, 289.97, 2, 774.83, 291.82, 2, 0, 0, 0, 751.58, 320.43, 2]",1,CCTV_347.png
28,466,347,0,"[55.26, 128.05, 61.0, 179.0]",10919,13,"[55.26, 131.42, 2, 56.87, 128.05, 2, 0, 0, 0, 65.92, 130.27, 2, 0, 0, 0, 78.21, 148.01, 2, 77.74, 144.6, 2, 82.97, 181.75, 2, 0, 0, 0, 72.79, 213.51, 2, 0, 0, 0, 87.9, 214.35, 2, 88.06, 210.14, 2, 103.29, 266.14, 2, 72.81, 260.37, 2, 116.26, 305.24, 2, 67.34, 307.05, 2]",1,CCTV_347.png
29,921,689,0,"[511.1, 148.48, 142.42, 326.09]",46441,16,"[568.23, 157.28, 2, 575.48, 148.48, 2, 559.56, 149.93, 2, 0, 0, 0, 545.3, 153.96, 2, 611.23, 181.85, 2, 516.29, 193.95, 2, 636.78, 253.49, 2, 511.1, 250.23, 2, 653.52, 310.74, 2, 531.31, 301.83, 2, 601.32, 318.95, 2, 545.28, 322.44, 2, 602.76, 388.79, 2, 552.92, 399.93, 2, 591.25, 441.28, 2, 565.59, 474.57, 2]",1,CCTV_689.png
30,513,382,0,"[117.54, 326.53, 185.28, 323.17]",59876,15,"[206.02, 333.96, 2, 0, 0, 0, 204.81, 326.53, 2, 0, 0, 0, 172.79, 330.52, 2, 117.54, 363.39, 2, 208.52, 409.88, 2, 202.62, 382.13, 2, 292.37, 436.29, 2, 254.43, 386.47, 2, 299.26, 410.04, 2, 192.95, 512.27, 2, 244.25, 526.38, 2, 218.02, 584.65, 2, 289.89, 581.0, 2, 225.59, 649.7, 2, 302.82, 638.37, 2]",1,CCTV_382.png
31,868,649,0,"[976.9, 248.91, 63.83, 75.82]",4839,9,"[1022.51, 251.92, 2, 1027.22, 248.91, 2, 0, 0, 0, 1038.64, 259.26, 2, 0, 0, 0, 1040.73, 288.75, 2, 1040.18, 262.5, 2, 1013.75, 313.91, 2, 1013.23, 258.52, 2, 976.9, 324.73, 2, 983.03, 257.93, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,CCTV_649.png
32,869,649,0,"[953.29, 272.21, 130.96, 188.21]",24647,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1058.36, 272.21, 2, 0, 0, 0, 1046.56, 297.43, 2, 1084.25, 303.9, 2, 1023.54, 335.6, 2, 1071.78, 338.33, 2, 1011.32, 301.91, 2, 0, 0, 0, 1012.02, 375.78, 2, 1035.21, 378.89, 2, 980.27, 410.39, 2, 1005.2, 422.67, 2, 953.29, 446.85, 2, 987.78, 460.42, 2]",1,CCTV_649.png
33,289,222,0,"[193.34, 91.65, 98.16, 125.95]",12363,16,"[195.56, 105.58, 2, 197.61, 101.57, 2, 194.78, 101.6, 2, 206.58, 96.39, 2, 0, 0, 0, 216.84, 117.19, 2, 223.89, 91.65, 2, 207.14, 153.33, 2, 258.65, 97.96, 2, 193.34, 180.5, 2, 282.92, 113.43, 2, 270.36, 138.23, 2, 277.46, 125.35, 2, 268.16, 174.31, 2, 277.34, 159.64, 2, 267.57, 217.6, 2, 291.5, 179.9, 2]",1,CCTV_222.png
34,290,222,0,"[97.94, 189.3, 105.24, 133.29]",14027,16,"[111.7, 201.55, 2, 113.62, 193.91, 2, 106.15, 196.89, 2, 122.81, 189.3, 2, 0, 0, 0, 131.91, 190.35, 2, 97.94, 219.77, 2, 141.62, 221.77, 2, 110.97, 260.75, 2, 142.78, 254.15, 2, 137.53, 247.84, 2, 155.56, 251.54, 2, 127.79, 275.59, 2, 173.95, 286.96, 2, 162.56, 261.23, 2, 189.32, 322.59, 2, 203.18, 286.91, 2]",1,CCTV_222.png
35,717,537,0,"[760.87, 615.82, 159.09, 319.37]",50808,14,"[913.83, 625.37, 2, 918.4, 618.05, 2, 909.37, 616.63, 2, 0, 0, 0, 895.15, 615.82, 2, 919.96, 650.45, 2, 857.79, 651.71, 2, 0, 0, 0, 834.18, 702.21, 2, 0, 0, 0, 832.58, 772.31, 2, 901.69, 760.06, 2, 854.09, 764.71, 2, 893.13, 866.11, 2, 810.59, 827.48, 2, 875.58, 935.19, 2, 760.87, 876.18, 2]",1,CCTV_537.png
36,818,613,0,"[861.46, 174.75, 90.0, 173.87]",15648,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 951.46, 174.75, 2, 943.78, 192.64, 2, 938.04, 222.99, 2, 906.57, 221.1, 2, 935.22, 256.21, 2, 909.29, 257.71, 2, 888.73, 241.8, 2, 887.95, 244.75, 2, 920.3, 298.09, 2, 908.84, 292.46, 2, 871.25, 317.14, 2, 861.46, 348.62, 2]",1,CCTV_613.png
37,173,129,0,"[751.6, 325.05, 118.95, 305.73]",36366,15,"[795.37, 342.3, 2, 801.28, 334.3, 2, 0, 0, 0, 829.46, 325.05, 2, 0, 0, 0, 870.55, 373.13, 2, 788.97, 343.7, 2, 865.87, 433.9, 2, 769.28, 386.34, 2, 810.96, 479.07, 2, 751.6, 442.81, 2, 831.34, 477.5, 2, 782.17, 461.38, 2, 808.25, 561.34, 2, 772.74, 532.04, 2, 798.21, 630.78, 2, 758.86, 604.54, 2]",1,CCTV_129.png
38,837,629,0,"[659.58, 233.33, 100.17, 309.22]",30974,14,"[720.22, 241.89, 2, 729.72, 238.29, 2, 725.0, 233.33, 2, 753.82, 250.76, 2, 0, 0, 0, 723.7, 285.15, 2, 759.75, 276.23, 2, 676.73, 325.41, 2, 0, 0, 0, 679.85, 292.22, 2, 0, 0, 0, 695.99, 394.34, 2, 730.46, 385.07, 2, 676.15, 446.42, 2, 676.93, 441.93, 2, 725.86, 542.55, 2, 659.58, 507.21, 2]",1,CCTV_629.png
39,443,330,0,"[782.58, 75.06, 53.01, 102.38]",5427,16,"[821.01, 82.72, 2, 822.34, 79.83, 2, 819.34, 79.61, 2, 0, 0, 0, 813.92, 75.06, 2, 829.29, 87.84, 2, 799.85, 85.46, 2, 833.42, 101.12, 2, 790.96, 97.41, 2, 835.59, 117.35, 2, 782.58, 117.26, 2, 818.1, 120.51, 2, 800.88, 121.55, 2, 810.93, 140.66, 2, 805.16, 147.5, 2, 795.81, 157.44, 2, 804.24, 177.44, 2]",1,CCTV_330.png
40,147,107,0,"[578.47, 400.23, 44.2, 139.76]",6177,16,"[599.12, 401.44, 2, 602.19, 401.07, 2, 597.51, 400.23, 2, 606.73, 407.56, 2, 0, 0, 0, 612.67, 424.01, 2, 583.74, 423.74, 2, 621.18, 452.39, 2, 578.47, 447.27, 2, 622.67, 472.96, 2, 579.33, 470.89, 2, 609.29, 475.33, 2, 589.98, 475.03, 2, 610.98, 509.83, 2, 591.19, 507.34, 2, 611.95, 539.99, 2, 592.59, 537.22, 2]",1,CCTV_107.png
41,160,119,0,"[1091.97, 217.15, 109.19, 213.09]",23267,16,"[1161.31, 224.5, 2, 1165.51, 219.77, 2, 1160.86, 217.15, 2, 1182.07, 220.2, 2, 0, 0, 0, 1201.16, 258.66, 2, 1159.93, 235.24, 2, 1190.39, 304.88, 2, 1131.09, 273.63, 2, 1153.55, 304.39, 2, 1111.42, 282.24, 2, 1158.17, 334.01, 2, 1129.75, 311.29, 2, 1111.72, 378.62, 2, 1096.34, 370.88, 2, 1091.97, 430.24, 2, 1131.01, 396.13, 2]",1,CCTV_119.png
42,91,59,0,"[656.44, 430.01, 65.55, 162.05]",10622,15,"[676.44, 435.5, 2, 677.66, 431.56, 2, 0, 0, 0, 687.49, 430.01, 2, 0, 0, 0, 696.78, 459.92, 2, 705.08, 437.53, 2, 695.68, 511.35, 2, 700.06, 465.33, 2, 666.39, 498.39, 2, 681.36, 473.59, 2, 706.94, 517.63, 2, 708.18, 510.57, 2, 672.75, 549.47, 2, 703.64, 549.41, 2, 656.44, 592.06, 2, 721.99, 586.24, 2]",1,CCTV_59.png
43,401,299,0,"[306.84, 151.99, 24.97, 75.31]",1880,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 328.88, 151.99, 2, 310.91, 153.93, 2, 331.81, 167.42, 2, 306.84, 167.99, 2, 328.47, 176.06, 2, 308.81, 177.32, 2, 326.24, 179.52, 2, 318.2, 182.61, 2, 0, 0, 0, 325.15, 202.89, 2, 0, 0, 0, 319.09, 227.3, 2]",1,CCTV_299.png
44,623,463,0,"[65.22, 87.23, 13.41, 48.44]",649,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70.34, 87.23, 2, 70.18, 89.54, 2, 0, 0, 0, 72.58, 95.53, 2, 0, 0, 0, 78.63, 100.53, 2, 70.45, 108.47, 2, 72.2, 108.94, 2, 70.44, 121.66, 2, 77.55, 121.78, 2, 65.22, 129.16, 2, 76.83, 135.67, 2]",1,CCTV_463.png
45,124,86,0,"[170.81, 236.67, 265.9, 386.84]",102860,16,"[366.99, 256.38, 2, 369.31, 239.61, 2, 355.96, 244.99, 2, 0, 0, 0, 302.85, 236.67, 2, 347.5, 255.25, 2, 231.68, 314.07, 2, 387.19, 278.07, 2, 170.81, 401.56, 2, 436.71, 309.64, 2, 234.84, 493.06, 2, 352.93, 399.39, 2, 296.8, 445.82, 2, 397.08, 492.33, 2, 357.47, 532.2, 2, 397.57, 546.04, 2, 411.33, 623.51, 2]",1,CCTV_86.png
46,62,40,0,"[432.86, 253.45, 92.41, 164.77]",15226,16,"[483.29, 259.7, 2, 482.74, 253.45, 2, 476.68, 257.77, 2, 0, 0, 0, 459.14, 256.44, 2, 499.85, 262.99, 2, 437.06, 282.24, 2, 518.63, 285.0, 2, 433.15, 316.77, 2, 525.27, 310.2, 2, 432.86, 342.63, 2, 502.94, 330.55, 2, 463.96, 334.28, 2, 498.56, 366.62, 2, 461.29, 380.27, 2, 522.18, 374.18, 2, 473.55, 418.22, 2]",1,CCTV_40.png
47,63,40,0,"[523.5, 236.81, 117.08, 166.6]",19505,16,"[570.23, 242.98, 2, 574.44, 239.09, 2, 568.9, 237.49, 2, 587.63, 236.81, 2, 0, 0, 0, 607.92, 254.93, 2, 554.53, 257.41, 2, 620.54, 279.51, 2, 536.98, 286.5, 2, 640.58, 290.16, 2, 523.5, 304.09, 2, 596.52, 315.08, 2, 565.71, 314.85, 2, 588.06, 357.89, 2, 565.36, 355.39, 2, 593.83, 403.41, 2, 571.34, 400.53, 2]",1,CCTV_40.png
48,226,175,0,"[965.68, 462.87, 59.61, 142.37]",8486,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 978.37, 462.87, 2, 1021.42, 466.69, 2, 970.11, 496.45, 2, 1025.29, 495.09, 2, 0, 0, 0, 0, 0, 0, 978.67, 524.56, 2, 998.28, 527.38, 2, 972.44, 545.02, 2, 985.08, 564.66, 2, 965.68, 569.15, 2, 967.37, 605.24, 2]",1,CCTV_175.png
49,541,400,0,"[486.28, 213.4, 137.32, 331.11]",45468,14,"[573.8, 221.55, 2, 577.3, 213.4, 2, 568.27, 213.83, 2, 0, 0, 0, 555.28, 216.05, 2, 623.6, 249.15, 2, 522.63, 248.55, 2, 0, 0, 0, 500.9, 301.59, 2, 0, 0, 0, 486.28, 357.68, 2, 606.18, 356.02, 2, 543.63, 356.43, 2, 595.68, 418.88, 2, 548.82, 440.79, 2, 599.52, 506.23, 2, 547.9, 544.51, 2]",1,CCTV_400.png
50,542,400,0,"[615.83, 225.48, 139.74, 314.03]",43882,17,"[677.44, 232.75, 2, 682.07, 226.1, 2, 673.33, 225.48, 2, 695.48, 227.62, 2, 663.3, 226.45, 2, 731.75, 260.05, 2, 635.01, 254.6, 2, 748.09, 331.75, 2, 627.76, 311.71, 2, 755.57, 386.96, 2, 615.83, 357.8, 2, 719.36, 384.13, 2, 655.45, 380.62, 2, 714.89, 452.14, 2, 664.03, 452.68, 2, 715.65, 525.06, 2, 683.93, 539.51, 2]",1,CCTV_400.png
51,431,321,0,"[971.26, 242.22, 79.26, 235.64]",18676,15,"[999.67, 245.89, 2, 1003.65, 242.22, 2, 0, 0, 0, 1012.51, 249.41, 2, 0, 0, 0, 1033.33, 274.43, 2, 994.75, 276.01, 2, 1041.25, 316.71, 2, 983.16, 313.28, 2, 1050.52, 352.32, 2, 971.26, 351.12, 2, 1020.7, 343.14, 2, 992.12, 344.04, 2, 1003.71, 410.5, 2, 998.97, 420.7, 2, 982.78, 445.69, 2, 994.72, 477.86, 2]",1,CCTV_321.png
52,830,624,0,"[548.5, 127.56, 80.65, 124.15]",10012,16,"[548.95, 130.49, 2, 551.5, 127.78, 2, 548.5, 128.02, 2, 559.54, 127.56, 2, 0, 0, 0, 560.9, 142.37, 2, 573.17, 129.03, 2, 566.65, 165.27, 2, 598.83, 146.81, 2, 550.36, 178.05, 2, 594.63, 161.23, 2, 582.08, 189.66, 2, 585.64, 184.04, 2, 596.91, 219.91, 2, 576.98, 213.51, 2, 629.15, 226.98, 2, 584.86, 251.71, 2]",1,CCTV_624.png
53,881,659,0,"[212.06, 299.29, 192.87, 199.95]",38564,10,"[303.33, 303.45, 2, 0, 0, 0, 299.55, 299.29, 2, 0, 0, 0, 283.09, 307.68, 2, 239.49, 346.45, 2, 314.19, 392.54, 2, 212.06, 412.72, 2, 348.87, 448.45, 2, 0, 0, 0, 404.93, 463.48, 2, 292.82, 478.41, 2, 314.83, 499.24, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,CCTV_659.png
